PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
radially symmetrical	2	1	2373309 all
bilaterally symmetric	2	1	2372118 all
mechanically skillful	2	1	2891236 pert
politically incorrect	2	1	2781783 pert
functionally illiterate	2	1	1422098 all
tapering off	2	1	2537513 all
ten thousand	2	1	2198891 all
tightly knit	2	1	1328877 all
under attack	2	1	2524900 all
undreamed of	2	1	646276 all
well behaved	2	1	1125241 all
west african	2	1	3042249 pert
all important	2	1	1276150 all
ante meridiem	2	1	130518 all
caramel brown	2	1	372799 all
comparable to	2	1	504431 all
compos mentis	2	1	2073678 all
contingent on	2	1	555859 all
en deshabille	2	1	459210 all
great bellied	2	1	222775 all
highly strung	2	1	2406370 all
in dishabille	2	1	459210 all
new zealander	2	1	3131480 pert
north african	2	1	2996373 pert
not intrusive	2	1	1352895 all
not surprised	2	1	2359308 all
post meridiem	2	1	130701 all
scantily clad	2	1	459443 all
south african	2	1	2928926 pert
sunny-side up	2	1	619030 all
three hundred	2	1	2198409 all
tight fitting	2	1	1448178 all
y2k compliant	2	1	1613309 all
anal retentive	2	1	109966 all
at loggerheads	2	1	1245441 all
close together	2	1	448130 all
connotative of	2	1	723395 all
copper colored	2	1	373493 all
dependant upon	2	1	555859 all
dependent upon	2	1	555859 all
east pakistani	2	1	3046349 pert
greek orthodox	2	1	2953598 pert
indivisible by	2	1	786031 all
last mentioned	2	1	1047752 all
middle eastern	2	1	2626379 pert
new caledonian	2	1	2768740 pert
north american	2	1	2928566 pert
roman catholic	2	1	2921753 pert
sierra leonean	2	1	3117503 pert
south american	2	1	2928728 pert
comparable with	2	1	504172 all
contingent upon	2	1	555859 all
factor analytic	2	1	2725181 pert
fully fashioned	2	1	2139652 all
lightly armored	2	1	144244 all
middle atlantic	2	1	827327 all
native american	2	1	2928066 pert
profoundly deaf	2	1	682521 all
responsible for	2	1	324878 all
technical grade	2	1	1908341 all
thickly settled	2	1	1312376 all
tightly fitting	2	1	1448178 all
unfamiliar with	2	1	966960 all
central american	2	1	3004196 pert
browned off	2	1	1806483 all
cheesed off	2	1	1806483 all
clapped out	2	1	2581365 all
costa rican	2	1	3056693 pert
cress green	2	1	374001 all
cursed with	2	1	670418 all
drenched in	2	1	1696165 all
east german	2	1	2957699 pert
east indian	2	1	2942077 pert
fast asleep	2	1	188738 all
fleshed out	2	1	522680 all
fully grown	2	1	1488616 all
good enough	2	1	1124192 all
implicit in	2	1	941940 all
in evidence	2	1	580497 all
in question	2	1	1916979 all
intra vires	2	1	1347935 all
knocked out	2	1	572714 all
olde worlde	2	1	973192 all
one hundred	2	1	2196107 all
powder blue	2	1	380178 all
prima facie	2	1	429793 all
pro tempore	2	1	1757608 all
right smart	2	1	624913 all
stark naked	2	1	458266 all
sui generis	2	1	2215382 all
