PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
make vibrant sounds	3	1	1052936 communication
reach one's nostrils	3	1	2124632 perception
break someone's heart	3	1	1792951 emotion
steel oneself against	3	1	273257 change
touch a chord	3	1	1759926 emotion
turn a profit	3	1	2278830 possession
turn the tide	3	1	139160 change
write in code	3	1	994076 communication
bear down upon	3	1	1927992 motion
beat a retreat	3	1	2009347 motion
call the shots	3	1	2601271 social
catch some z's	3	1	14742 body
cause to sleep	3	1	19273 body
cut to ribbons	3	1	1083920 competition
face the music	3	1	2302081 possession
flip one's lid	3	1	1795428 emotion
flip one's wig	3	1	1795428 emotion
get along with	3	1	2458566 social
give tongue to	3	1	940384 communication
have it coming	3	1	2646601 stative
hold still for	3	1	669099 cognition
know the score	3	1	596484 cognition
pull up stakes	3	1	2383440 social
put one across	3	1	854904 communication
raise the roof	3	1	1787469 emotion
ride the bench	3	1	2418029 social
send a message	3	1	742865 communication
sow one's oats	3	1	1192179 consumption
spring to mind	3	1	609352 cognition
take in charge	3	1	2539686 social
take kindly to	3	1	2719246 stative
take the count	3	1	1125209 competition
take the fifth	3	1	894499 communication
take the stage	3	1	2535360 social
take the stand	3	1	1014821 communication
warm the bench	3	1	2418029 social
ask for trouble	3	1	351048 change
catch a glimpse	3	1	2129879 perception
come into being	3	1	361208 change
drag one's feet	3	1	2642238 stative
drop like flies	3	1	30853 body
fall from grace	3	1	2517443 social
fall into place	3	1	591755 cognition
get one's lumps	3	1	738159 cognition
get the picture	3	1	588221 cognition
give one's best	3	1	2563120 social
give the bounce	3	1	353639 change
hit the ceiling	3	1	1795428 emotion
hit the jackpot	3	1	2524739 social
kick the bucket	3	1	358431 change
paint a picture	3	1	930368 communication
put behind bars	3	1	2494356 social
put out feelers	3	1	646135 cognition
slip one's mind	3	1	608978 cognition
spill the beans	3	1	937208 communication
take a breather	3	1	779360 communication
take lying down	3	1	669366 cognition
turn the tables	3	1	139160 change
blow one's stack	3	1	1795428 emotion
break one's back	3	1	2421199 social
call one's bluff	3	1	868270 communication
take in vain	3	1	1161830 consumption
take it easy	3	1	26941 body
take the air	3	1	1882170 motion
take to task	3	1	824767 communication
take up arms	3	1	1093465 competition
toe the line	3	1	2542706 social
turn a trick	3	1	2464481 social
bring to bear	3	1	2560999 social
call it quits	3	1	2681335 stative
call the tune	3	1	2601271 social
call to order	3	1	2425763 social
carry to term	3	1	59559 body
clear the air	3	1	2003186 motion
come in handy	3	1	2725460 stative
come to grips	3	1	2437157 social
come to light	3	1	423430 change
dish the dirt	3	1	1041954 communication
do one's best	3	1	2563120 social
do the dishes	3	1	1533166 contact
do the honors	3	1	2592543 social
drain the cup	3	1	1175937 consumption
draw the line	3	1	234536 change
drop the ball	3	1	2566227 social
fall all over	3	1	2514881 social
fall short of	3	1	2671761 stative
fill the bill	3	1	2668170 stative
get a noseful	3	1	2126269 perception
get around to	3	1	2428316 social
get the goods	3	1	599434 cognition
give and take	3	1	1036188 communication
give the gate	3	1	353639 change
give the sack	3	1	2402825 social
have the best	3	1	1104018 competition
hit the books	3	1	607114 cognition
look out over	3	1	2721966 stative
lose sight of	3	1	2130017 perception
make a motion	3	1	879356 communication
point the way	3	1	749794 communication
press down on	3	1	1597096 contact
pull the plug	3	1	2510184 social
pull up short	3	1	1861230 motion
queen it over	3	1	2593551 social
raise a stink	3	1	910654 communication
see the light	3	1	167934 change
set in motion	3	1	1515196 contact
shed light on	3	1	621058 cognition
show the door	3	1	1468948 contact
shy away from	3	1	811995 communication
spend a penny	3	1	72012 body
stay in place	3	1	1848355 motion
strike a blow	3	1	137791 change
strike a note	3	1	1769220 emotion
take a breath	3	1	1740 body
take a chance	3	1	2544348 social
take a powder	3	1	427558 change
take in water	3	1	257947 change
take the cake	3	1	1107895 competition
take the road	3	1	1845587 motion
take the veil	3	1	888519 communication
take time off	3	1	2411950 social
take to heart	3	1	616670 cognition
put to work	3	1	2407987 social
set on fire	3	1	2760139 weather
take a crap	3	1	74038 body
take a dive	3	1	839085 communication
take a joke	3	1	669630 cognition
take a leak	3	1	72012 body
take a look	3	1	2131777 perception
take a shit	3	1	74038 body
talk out of	3	1	768389 communication
throw a fit	3	1	1795428 emotion
turn a loss	3	1	2288828 possession
walk on air	3	1	1813668 emotion
walk out of	3	1	2008863 motion
whoop it up	3	1	2491383 social
bear in mind	3	1	609506 cognition
bell the cat	3	1	2545939 social
buy the farm	3	1	358431 change
catch a wink	3	1	15498 body
chew the fat	3	1	1038666 communication
chip away at	3	1	180315 change
come to hand	3	1	423430 change
come to mind	3	1	609352 cognition
do away with	3	1	471711 change
draw a blank	3	1	609100 cognition
fall in line	3	1	733804 cognition
fall in love	3	1	148597 change
fit the bill	3	1	2668170 stative
fly the coop	3	1	2075049 motion
follow up on	3	1	2376429 social
get in touch	3	1	2389346 social
get the best	3	1	1104018 competition
get the hang	3	1	597634 cognition
get the jump	3	1	1104376 competition
get to grips	3	1	2437157 social
give the eye	3	1	2167875 perception
go for broke	3	1	2544781 social
go to pieces	3	1	1829126 emotion
have in mind	3	1	730052 cognition
have it away	3	1	1426397 contact
hit the deck	3	1	1833717 motion
hit the dirt	3	1	1833717 motion
hit the roof	3	1	1795428 emotion
hit the sack	3	1	17865 body
hook up with	3	1	2488834 social
jump for joy	3	1	1813668 emotion
keep in line	3	1	1803936 emotion
keep tabs on	3	1	2455861 social
lay hands on	3	1	1212024 contact
lay waste to	3	1	388635 change
look down on	3	1	1828070 emotion
lord it over	3	1	2593551 social
make a point	3	1	2595234 social
make a stink	3	1	910654 communication
meet up with	3	1	2022977 motion
put one over	3	1	854904 communication
put to death	3	1	2483267 social
set to music	3	1	1706014 creation
shoot a line	3	1	883226 communication
take hold of	3	1	1439190 contact
